cam_abbr,cam_name,angle,category,url,stored_url
rehabern,Berner Reha Zentrum Heiligenschwendi,360,Hospitals,https://rehabern.roundshot.com/,https://storage2.roundshot.com/595e3fe12059f0.23556672
gzo,GZO Spital Wetzikon,340,Hospitals,https://gzo.roundshot.com/,https://storage2.roundshot.com/53a979853ab391.41220151
ksgr,Chur,230,Hospitals,https://ksgr.roundshot.com/,https://storage2.roundshot.com/53ce69426227f6.12098355
lhm,Luzerner Höhenklinik Montana,360,Hospitals,https://lhm.roundshot.com/,https://storage2.roundshot.com/53aa92f61b1e20.59753483
luks-luzern,Luzern,360,Hospitals,https://luks-luzern.roundshot.com/,https://storage2.roundshot.com/57d678c7c86300.66693662
luks-luzern_kinderspital,Luzern Kinderspital,180,Hospitals,https://luks-luzern.roundshot.com/kinderspital/,https://storage2.roundshot.com/5ee10183dfd135.24461226
luks-sursee,Sursee,360,Hospitals,https://luks-sursee.roundshot.com/,https://storage2.roundshot.com/577237af68bd21.05107756
luks-wolhusen,Wolhusen,360,Hospitals,https://luks-wolhusen.roundshot.com/,https://storage2.roundshot.com/57728075972f06.76882974
maiengarten,Bertschikon,360,Hospitals,https://maiengarten.roundshot.com/,https://storage2.roundshot.com/53aa94ace7c186.24562765
rehabellikon,Rehaklinik Bellikon,360,Hospitals,https://rehabellikon.roundshot.com/,https://storage2.roundshot.com/6086d89f3201d1.39253008
ksnw,Stans,360,Hospitals,https://ksnw.roundshot.com/,https://storage.roundshot.com/57e2b1fa117222.19088566
